Username,Tweet,Timestamp
@teluguwebmedia,"విశాఖ హార్బర్ కు క్రూయిజ్ షిప్...
https://teluguwebmedia.co.in/news-details.php?nid=5106…
#news #LatestUpdates #viralpost #National #InternationalNews
#AndhraPradesh #vishakha #herbar #cruiseship",2025-01-25T11:09:49.000Z
@astrosandy_in,Markets may further see a downwards trend on Monday (7th)in the first half carrying on from the ‘Black Friday’ closing. May see an uptrend after 2:00 PM. #Moon #Venus in #Vishakha. #AstroTips #StockMarketTips #AstroSandy #AAstroSandy,2024-10-05T09:28:33.000Z
@justice_tarot,"#05May2023:  #Vishakha #KingofCups This is more advisory: it's important for us to focus on the strength of love, rather than superficial differences, and to communicate from that depth of feeling. Some of us do this already, but the rest of us need reminding to be gentle.",2023-05-04T22:37:46.000Z
@oktelugunews,#Vishakha #YCP: విశాఖలో గేట్లు ఎత్తేశారుగా.. కూటమి పార్టీలోకి భారీ చేరికలు.. జనసేనలోకి ఐదుగురు కార్పొరేటర్లు,2024-08-07T05:17:37.000Z
@Manju_ELN,"తాకట్టులో #విశాఖపట్టణం 
మన ప్రభుత్వం విశాఖలో తాకట్టు పెట్టిన ప్రభుత్వ ఆస్తుల వివరాలు..
#Vishakha
#Vizag",2022-10-06T05:49:48.000Z
@mid_day,"#MiddayNews  |

Badlapur sexual assault: Maharashtra schools to establish Vishakha Committees, says Kesarkar

#badlapur #sexualassault #maharashtra #vishakha",2024-08-20T14:11:23.000Z
@GroupVishakha,"May the blessing of Lord Rama guide you towards the path of righteousness. Vishakha family wishes all of you a very Happy Ram Navami.
.
.
#vishakha #vishakhagroup #vishakharenewables #vishakhafoundation
#vishakhamouldings #vishakhapipes #vishakhapolyfab #ramnavami #ramnavami2024",2024-04-17T03:44:58.000Z
@DurgaIndia1,"Stay tuned for Durga India's campaign against workplace harassment and how to fight back, from 6th September to 17th September
#NoSeatAtTheTable
#durgaindia #workplacesafety #workplaceharassment #toxicworkplace #exploitation #poshact #vishakha #feminism #woke #activism",2021-09-06T13:29:35.000Z
@ruledbytwins,"Friend asked about his future wifu 

#venus #vishakha",2024-09-03T16:46:47.000Z
@vivekbabaji,"congress is a stinking piece of rotten carcass! unfortunate that people like #vishakha chose to be ungrateful pricks in front of 
@ndtv
 camera - egged on by her congresswoman mother sumitra yadav!",2022-03-03T15:12:04.000Z
@GroupVishakha,"We look forward to participating in many such events in the future.

#Vishakha #vishakhagroup #VishakhaRenewables #exhibition #rei2024 #renewables #renewablesolutions",2024-10-05T11:48:11.000Z
@Katrina5Mm,"looking into Alexandria Cortez-Ocasio's chart
Moon #Ashwini            Sun...#Vishakha? 

#purvaAshadaASC  Venus #Mula   Mars #Swati 'sword'

Interesting, no? 
@fashionastro
 @fashionastro",2022-10-05T22:33:37.000Z
@samadkh85454443,"Koi #ektakappor ko yaad dilao #nnagin kesa hota hai koi #ektamam ko #naagin12345 dubara dikhao 'ke unko yaad aye k esa hota tha or esa bnana hai koi rehm krlo hm audnc pr hm #naagin fans hain #bela #shaysha #vishakha #shivanya i miss them alot
#sastanaagin #fazulnaagin #flopnagin",2022-05-26T06:15:58.000Z
@news_studio18,#Vishakha: కార్పొరేట్ సంస్థలకు ఊడిగం చేస్తున్న బి‌జే‌పి http://youtube.com/watch?v=eJFET0XlNzE&feature=youtu.be… https://studio18news.com/?p=1158,2022-07-04T11:16:19.000Z
@Aatufar,"Vishakha Dhiman 
#VishakhaDhiman #Vishakha #Tollywood #Kollywood #Mollywood #actress #model #saree #fashion #sareelove",2023-11-27T04:26:29.000Z
@NEWSTRINETHRAM,"https://trinethramnews.in/madan-mohan-video/…
#madanmohan #videos #vishakha #wife #shanthi #VijaySaiReddy #beach #dance #AndhraPradesh",2024-07-17T11:30:35.000Z
@Vedicastr,"https://vedicastrodiction.com/astrology/vishakha-nakshatra-in-vedic-astrology/…
Mythology of Vishaka nakshatra in vedic astrology 
#astrostuffs #astrology #vedicastrology #astrologer #nakshatra #vishakha #astroloji",2022-08-08T13:30:01.000Z
@GroupVishakha,"Keeping faith in yourself is the first step towards the path of progress. May the holy light pave the way to that step for all of you.
Wishing you a pious and harmonious #Holi.
.
.
.
.
#vishakha #vishakhagroup #vishakharenewables  #vishakhapolyfab #holi2024 #HappyHoli",2024-03-24T05:01:39.000Z
@lembhe_sameer,"#mhj 
@sonymarathitv
 #vishakha नवीन सिझन मध्ये विशाखा ताई आहे का",2022-08-12T17:21:27.000Z
@justice_tarot,"Part 1 of #NewMoon in #Vishakha  (But that #Ashlesha #Moon won't quit!)

00:00 3rd Quarter Moon & #WakandaForever (SPOILERS)

26:22 New Moon in Vishakha
50:00 November 2022 Revelations
1:08:33 #Cancer
1:19:29 #Virgo
1:27:33 #Gemini",2022-11-19T11:49:35.000Z
@PatrikaUP,"मेरठ की जिस महिला को अभिनेता धर्मेंद्र ने दी बधाई,योगी की पुलिस ने उनको सौंपी बड़ी जिम्मेदारी
#MeerutNews #Vishakha #LiveUpdate
https://patrika.com/meerut-news/dr-madhu-vats-of-meerut-become-judicial-member-of-vishakha-committee-of-up-police-8494074/…",2023-09-19T11:51:38.000Z
@justice_tarot,"I want to remind everyone, too, that Laura Linney (Wendy Byrde) has #Moon & #Neptune in #Vishakha & #Venus in #PurvaBhadrapada...anybody who knows about nakshatras will know this is PERFECT casting.

#Nakshatras
#VedicAstrology
#RealJusticeTarot",2021-10-26T18:28:42.000Z
@sallababa66,In Gundya Ka Saath Kyun Na Chodta Re Tu #sallubhai2023 #ingundiyaksaathqnachhoddaretu #ingundyakasathkyunaxortaretham #naveenchaudhary #vishakajatni #vishakha,2024-07-25T20:17:31.000Z
@JLH7288,"#Vishakha #Nakshatra is a powerful lunar mansion symbolizing success, leadership, and determination. Individuals born under this Nakshatra are driven, charismatic, and possess the ability to influence and lead others towards achieving significant goals. By understanding the",2024-10-09T02:39:37.000Z
@Astrologic78875,"#vedicastrology #Tropical #Astrology 
#Aires #Taurus #Gemini #Cancer #Leo #Virgo #libra #Scorpio #Sagittarius #Capricorn #Aquarius #Pisces #nakshatras 
#ashlesha #mula #vishakha",2023-12-20T09:20:08.000Z
@Corridor6,"Happy Birthday #Vishakha Bokil

#corridor6films #vishakhabokil
#c6f",2023-10-08T08:31:54.000Z
@justice_tarot,"#09July2022:  #Vishakha #3ofWands Towards day's end, we have a clearer understanding of what our longer-term plans are and how to capitalise on everything we've already accomplished so far. This is great, but remember to make room for downtime. Spirit's got this covered.",2022-07-08T23:13:00.000Z
@justice_tarot,"#22Mar2022:  #Vishakha #KingCups #Zadkiel We're more likely to know how to talk to people who think differently to us, and it starts by appealing to their inner child. Gentility is absolutely key, as is listening. Hearing what isn't being said allows us to ease conflict.",2022-03-22T06:00:01.000Z
@GroupVishakha,"The grand celebration of our Annual Day was filled with smiles, moments of pride, and a collection of memories that will always keep this evening alive in our hearts. Catch a glimpse of all the sparkles on this magnificent evening.
.
.
.
.
#vishakha #vishakhagroup #annualday",2024-02-12T13:46:03.000Z
@iskconvicc,"Starts Today!
#iskconvicc #iskcon #iskconvaranasi #radhagopal #gopi #gopibhav #rasleela #katyani #katyanidevi #sakhi #srimadbhagvatam #radhamadhav #radhagopinath #gopinath #gopigeet #seperation #loveinseparation #krishnaislove #krishnaismyeverything #harekrishna #vishakha",2023-11-28T02:48:01.000Z
@naaginians,"Maha Shesh Naagin Ki Nayi Dushman ""VISHAKHA"" 

#naagin #naagin6 #prarthna #vishakha #vish #sheshnaagin #tejasswi #tejasswiprakash #tejatroops #anitahassanandani
@itsmetejasswi
 @anitahasnandani",2023-01-16T10:50:52.000Z
@GroupVishakha,"Let’s embark on a non-violent, non-stealing, celibate, truthful, and unselfish journey together under the guidance of Mahavir’s principles. Happy Mahavir Jayanti! 
.
.
.
.
#vishakha #vishakhagroup #vishakharenewables #vishakhafoundation #mahavirjayanti2024 #mahavirjayanti",2024-04-21T01:38:26.000Z
@news_studio18,"https://youtu.be/LFdYiPpE8Uw  #75thanniversary #vangaveetiimohanaranga #Vishakha

https://studio18news.com/?p=836",2022-06-29T07:05:25.000Z
@AbhiAttorney_,"बदल ना जाये आइने की नियत , यूँ वक़्त वे वक़्त ख़ुद को संवारा ना करो I #Vishakha",2022-01-09T17:14:54.000Z
@vikramix,"Supported by the powerful performances of #MitaVasisht #RajeshJais 
@saurabhgoyall
 and the exceptional one by 
@yaaneea_b
! #Chhorii wouldn’t have been possible without the technical wizardry of #AnshulChobey #KetanSodha #BaylonFonseca #Sheetal #Vishakha #Ranjan #Unni & #TeamChhorii",2021-12-02T07:11:31.000Z
@AnupamPKher,It was so wonderful to meet the newly triumphant Hon. #EknathShinde ji and the dynamic #DevendraPhadnavis ji along with #AmrutaJi at the wedding reception of Mumbai’s esteemed police commissioner #VivekPhansalkar Ji’s son #Ameya’s to #Vishakha. Congratulations to everyone for,2024-11-25T03:06:59.000Z
@ThanthiTV,"விசாகம் நட்சத்திரகாரர்கள் வணங்க வேண்டிய தலம்.. விரலி மஞ்சள் மாலை அணிவித்தால் திருமண தடை நீங்கும் - கபிஸ்தலம் கஜேந்திர பெருமாள் கோயிலின் சிறப்புகள்

#Kabisthalam #GajendraVaradhaTemple #Vishakha #thanthitv",2023-04-21T12:25:27.000Z
@GroupVishakha,"Compared to metal or wooden pallets, #plasticpallets are much safer, easy to handle, durable and hygienic.

We at #Vishakha provide you the most advanced injection-moulded plastic pallets, stronger than any other plastic pallets.

https://vishakha.com

#BigBins #Sustainability",2021-10-18T10:15:59.000Z
@DrAzizSP,"Congratulations! #vishakha for acchiving your goal as a ""provitinary officer """,2024-03-22T15:49:17.000Z
@PinkSpiderTarot,"3+ Days of Family Business (financial/personal,) Nov. 8-11/23, with the #Sun transiting Pada 3 of #Vishakha in #Libra - if your Sun/#birthday is in this Pada, your instincts & triggers are tied to generational patterns, demands & legacies - possibly with other people's families;",2023-11-08T15:42:41.000Z
@PinkSpiderTarot,"3+ Days of being Asset Managers with the #Sun transiting Pada 2 of #Vishakha in #Libra, Nov. 5-8;
YES, the Sun is only just reaching Libra now - if your Sun/#birthday is in this Pada, your instincts & triggers are tied to the ways/reasons you prioritise getting, having & giving;",2023-11-05T16:06:06.000Z
@LalithaAstro,"Venus in vishakha signifies a struggle between options & a desire for legacy. Individuals may leave a significant impact, especially if venus aligns with the eighth house or scorpio. Their creativity & drive can lead to lasting success.

#venus #Libra #Vishakha",2024-08-16T17:05:52.000Z
@oktelugunews,"విశాఖ స్టీల్స్ అడిగింది ఒకటి.. కెసిఆర్ చేస్తున్న ప్రచారం మరొకటి
https://oktelugu.com/visakha-steels-asked-one-thing-kcrs-campaign-is-another/…
#KCR #AndhraPradesh #VISHAKHA #politics",2023-04-12T03:38:22.000Z
@GroupVishakha,"We recently hosted a Lean Management training program at our Mundra factory in Gujarat. The session emphasized practical strategies for improving efficiency, equipping our teams with valuable tools for continuous improvement.
#TeamTraining #vishakhagroup #vishakha",2024-11-20T13:39:51.000Z
@bigtvtelugu,"విశాఖ:  భారీ వర్షాలకు గవర కంచరపాలెంలో కూలిన రైల్వే ప్రహరి గోడ. 

 రెండు కార్లు, ఎలక్ట్రికల్ పోల్ ధ్వంసం.  

ఘటనా స్థలాన్ని పరిశీలించిన విశాఖ పశ్చిమ ఎమ్మెల్యే గణబాబు. 

#Vishakha #Railwaywall #NewsUpdates #bigtvlive",2024-09-08T08:02:44.000Z
@prime9news,"విశాఖలో ఢీ అంటే ఢీ అంటున్న వైసీపీ నేతలు.. | Terachatu Rajakiyam | Prime9 News

Watch Here>>https://youtu.be/2GTmV69M6Z0

#prime9 #Prime9News #vishakha #VijayPrasad #TerachatuRajakiyam",2022-05-21T03:34:16.000Z
@IAmKnowThyself,"With opposite full aspect #Moon in #Libra #Vishakha & girlfriend's Libra #Chitra #Nakshatras, both Tiger #ShivaLingam/#Yoni, her Chinese #Zodiac sign is #Tiger & 2022 is #YearOfTheTiger, I'm diggin theme! Can't wait for release of my pre-ordered #BradThor #RisingTiger! #Astrology",2022-01-08T07:29:22.000Z
@justice_tarot,"#10November2023: Dark Luna divination is up! http://youtu.be/_Q0usro73P0?si…

#PsychicReadings #EmpressJusticeTarot #Tarot #VedicAstrology #Vishakha #NewMoon #Ashlesha #ThirdQuarterMoon",2023-11-09T17:43:18.000Z
@PinkSpiderTarot,"#IREvSCO Management be focused on, between 22:30 & 23:00 on Oct. 7? Their focus shifts, conjunct with #Mars/Loyalties & Mission, into Family Business & Benefactor energies in #Libra/#Vishakha, opposite to the players' freedom in #Aries, conjunct with #Jupiter & #Uranus #RWC2023",2023-10-05T16:33:57.000Z
@justice_tarot,"10-#13May2023: #Vishakha #KingofWands The closer the weekend is, the more pressures there is, as true, hidden feelings come out. At the same time...not all of it's bad. Some of this honesty results in strengthened communities and the right people finding each other.",2023-05-06T23:14:51.000Z
@DrSamirTripathi,"Thursday/Swati/special efforts/Venus in cancer with mars already there,there is no aspect on this from any other plant/it’s is best time to convert passion into something v meaningful&since cancer is sign of growth,these can b beneficial ahead-shiva bless all #astrology #vishakha",2023-05-31T15:32:53.000Z
@galattadotcom,"#VishakhaDhiman Latest Photoshoot Stills 

#Vishakha #Photoshoot #OnamAsamshakal",2021-08-21T08:39:01.000Z
@srivarahamihira,"#Vishakha #Nakshatra #Mantra

ॐ इंद्राग्नीभ्यां नमः
oṃ indrāgnībhyāṃ namaḥ

ॐ विशाखाभ्यां नमः
oṃ viśākhābhyāṃ namaḥ",2023-02-12T02:16:55.000Z
@IAmKnowThyself,"Got #Aries #Moon in #Bharani & #Pisces #Sun & #Rahu in #Revati in Vedic #Astrology. #Elephant  #Nakshatras. Not just dat opposite #Libra #Vishakha, #Tiger . Know people w/ least 1 of em in some way. #FuckAroundandFindOut. #FightAgainstHumanTrafficking.",2023-07-31T23:35:04.000Z
@Katrina5Mm,"Interesting to note that Ketu is in my 5H (Rahu 11H).

Rahu #Krittika into #Bharani 11H ... Ketu #Vishakha 5H",2022-07-08T08:31:46.000Z
@GroupVishakha,"Do check out our booth no - R646 in hall no. 12.""  #Vishakha #vishakhagroup #VishakhaRenewables #solarindustry #solar #backsheet #solarpanels #encapsulation #solarmodule #solarpanelsystem #india #manufacturing #renewables  #renewablesolutions #madeinindia",2024-09-28T07:49:48.000Z
@mallemala12,"Need Practical Legal Action on Rowdy Riots from 
@ysjagan
 CM Government… Is there Home minister Portfolio in AP Cabinet? Because how JSP gotten Permission on the same day of #Vishakha Prajagarjana Day???",2022-10-16T02:59:17.000Z
@GroupVishakha,"Every idea, every experiment, every breakthrough moves the world forward. Let’s celebrate the spirit of innovation that shapes our future.

Wishing you a think-worthy National Science Day!

#NationalScienceDay #ScienceDay #VishakhaGroup #Vishakha #Innovation #Research",2025-02-28T09:05:12.000Z
@LalithaAstro,"Vishakha, the birth nakshatra of the Sun, imbues its natives with a strong sense of pride & ego, driven by their unique talents. Their desire for superiority can push them to great lengths, often seeking recognition for their distinct abilities. #Sun #Libra #Vishakha #nakshatra",2024-12-05T15:13:37.000Z
@Astrologic78875,"#vedicastrology #Tropical #Astrology 
#Aires #Taurus #Gemini #Cancer #Leo #Virgo #libra #Scorpio #Sagittarius #Capricorn #Aquarius #Pisces #nakshatras 
#ashlesha #mula #vishakha",2023-11-27T03:43:44.000Z
Asish K Routray @ ଆଶିଷ - Jagannatha ଓଡିଶା Parivara,"Can we sketch Baby characters like #Karubaki,#Vishakha,#TriBhubanadevi or #HiraDevi, basically many princess of #Kalinga to inspire our #Odia younglings! As part of #OdiaNationalism 2.0 project developing few comics, but who I kidding, I ain't no artist, only a concept developer.",2023-10-04T18:51:05.000Z
@GroupVishakha,"We look forward to contributing to this event and making a tangible difference. Do check out our booth no. 42, at hall no. 1.

#Vishakha #vishakhagroup #VishakhaRenewables #exhibition #rei2024 #renewables #renewablesolutions",2024-09-13T06:50:22.000Z
@news_studio18,#Vishakha : మోడీ రాకను వ్యతిరేకిస్తూ నిరసన… http://youtube.com/watch?v=gAL35ZWzNUs&feature=youtu.be… https://studio18news.com/?p=1156,2022-07-04T11:12:00.000Z
@Katrina5Mm,"this my draconic ASC  #Vishakha  5H

...conj Vertex (FATE) 

ex: my Cancer sis' Vishakha Moon 
(She has a learning disability...interesting that it's in MY 5th house, no?)",2023-12-07T07:36:00.000Z
@Katrina5Mm,"my mother and i have our vertex libra #Vishakha 
my sister/roomie, her moon libra 
our father, his jupiter 

*star of purpose  *forked or two branched *triumphal arch",2024-08-01T21:32:01.000Z
@OnlyYSJagan,Vizag #vishakha,2023-09-24T17:00:58.000Z
@DeepakY21171652,"Yes...I have my  atamakarka #sun in  #Vishakha #Nakshatra & my father was sitting in front of Agni (fire) at the time of my birth. Also ,it was raining a lot  with  the Storm (Indra ,the god of rain).My #moon is also in  gandanta.",2022-05-21T09:03:37.000Z
@Astrologic78875,"#vedicastrology #Tropical #Astrology 
#Aires #Taurus #Gemini #Cancer #Leo #Virgo #libra #Scorpio #Sagittarius #Capricorn #Aquarius #Pisces #nakshatras 
#ashlesha #mula #vishakha",2023-11-22T01:40:29.000Z
@LalithaAstro,"5/ Vishakha also represents great battles, with those under its influence destined to face significant struggles in life but they emerge victorious. The nakshatra is linked to triumphs through perseverance, with a focus on reordering chaotic situations. #Venus #Vishakha #Victory",2024-10-05T07:43:15.000Z
@Mogambo6969,"#Vishakha Mulye Please see how Rich Beggars of Aditya Birla Family, Agents R running behind me 2offer Loans even when not asked. Why don't U Rich Beggars open Money Distribution / Loan business in Pakistan, I bet U will not have 2run behind Indian public begging to take loans",2023-08-12T14:32:34.000Z
@apratimsai9,"A Sparkling Fresh painted #Vishakhapatnam #WAP7 with #Bhubaneswar #Secundrabad #Vishakha Express Captured at #Jatni #KhurdaRoad right now!

#Railfan
@OdishaRail",2023-10-20T03:45:49.000Z
@Katrina5Mm,"śaravaṇabhava ""born amongst the reeds"" #Kartikeya 

Now, who does this remind me of... Moses, much...?

Vishakha 'star of Purpose'  

huh...keeps poppin' up 

in lagna chart, I have Vertex 5H in #Vishakha 'divided'

'the branched one'",2023-05-15T22:36:53.000Z
@JainVikramAp,"#vishakha #gasleka #andhrapraesh 
@AndhraPradeshCM
 @ysjagan
 @VisakhapatnamD1
 @vizagcollector
 @GVMC_VISAKHA
 @PatrikaNews
  
@PRaghavn
 @puruam",2022-06-03T11:41:44.000Z
@Kamalak94930639,"@AshwiniVaishnaw
 Sir seriously ! there is no such train from #Cuttack towards #Berhampur or #Puri as emergency daily official trip in the morning time between 8 am. Pls run #Vishakha from #Cuttack. It will be best support Sir.",2022-08-16T02:35:55.000Z
@justice_tarot,"Part 2 of #Vishakha #FullMoon is up!

0:00 #Aries
8:50 #Sagittarius
16:16 #Pisces
22:42 #Leo
31:55 #Scorpio

https://youtu.be/Plfr18dRJ1I",2022-05-09T12:38:42.000Z
